Tempo Decorrido; Velocidade; Rotacao; Acelerador; Freio; Hodometro Parcial; Ref, Velo; Max Torque+; Max Torque-; Torque Motor;TempMos1; TempMos2; TempAr; TempMotor; Tensao Bat; Corrente Motor; Tensao Motor;  id; iq; idx; iqx; GPV; GIV; GDV; GPC; GIC; GPF; GIF; FluxoMax; Cod, Falha; Cod, Alarme; Estado de Teste; Ass, Rampa; Controle Cruzeiro;SOC; Corrente Pack; 
5,9;15,5;1493;;;;;;;;;;;;51,7;;;;;;;;;;;;;;;;;;;;;41,3;
6;15,3;1483;;;;;;;;;;;;51,8;;;;;;;;;;;;;;;;;;;;;26,1;
6,1;16,8;1561;;;;;;;;;;;;50,8;;;;;;;;;;;;;;;;;;;;;86;
6,2;17,7;1670;;;;;;;;;;;;51;;;;;;;;;;;;;;;;;;;;;76,5;
6,3;18,3;1763;;;;;;;;;;;;51,1;;;;;;;;;;;;;;;;;;;;;65,5;
6,4;19,2;1828;;;;;;;;;;;;50,9;;;;;;;;;;;;;;;;;;;;;86,6;
6,5;19,7;1878;;;;;;;;;;;;50,7;;;;;;;;;;;;;;;;;;;;;89,4;
6,6;19,5;1891;;;;;;;;;;;;50,7;;;;;;;;;;;;;;;;;;;;;103;
6,7;19,9;1913;;;;;;;;;;;;50,8;;;;;;;;;;;;;;;;;;;;;82,8;
6,8;19,6;1899;;;;;;;;;;;;50,8;;;;;;;;;;;;;;;;;;;;;85,7;
6,9;19,1;1873;;;;;;;;;;;;50,8;;;;;;;;;;;;;;;;;;;;;87,4;
7;19;1859;;;;;;;;;;;;50,8;;;;;;;;;;;;;;;;;;;;;86,3;
7,1;19,2;1854;;;;;;;;;;;;50,6;;;;;;;;;;;;;;;;;;;;;103,4;
7,2;18,7;1847;;;;;;;;;;;;50,5;;;;;;;;;;;;;;;;;;;;;104,9;
7,3;19,2;1852;;;;;;;;;;;;48,9;;;;;;;;;;;;;;;;;;;;;206,4;
7,4;20;1889;;;;;;;;;;;;48,6;;;;;;;;;;;;;;;;;;;;;236,3;
7,5;21;1979;;;;;;;;;;;;48,9;;;;;;;;;;;;;;;;;;;;;198,6;
7,6;21,4;2027;;;;;;;;;;;;49,1;;;;;;;;;;;;;;;;;;;;;203,2;
7,7;22;2062;;;;;;;;;;;;49,5;;;;;;;;;;;;;;;;;;;;;168,6;
7,8;21,2;2059;;;;;;;;;;;;49,5;;;;;;;;;;;;;;;;;;;;;174,7;
7,9;21,4;2062;;;;;;;;;;;;49,8;;;;;;;;;;;;;;;;;;;;;141,3;
8;20,4;2019;;;;;;;;;;;;50,2;;;;;;;;;;;;;;;;;;;;;122,4;
8,1;20;1971;;;;;;;;;;;;50,2;;;;;;;;;;;;;;;;;;;;;111,1;
8,2;20,1;1912;;;;;;;;;;;;50,2;;;;;;;;;;;;;;;;;;;;;117,1;
